wine,price,country,rating
Barolo Cascina Francia,597.5,Italie,4.5
Pessac-Léognan (Grand Cru Classé de Graves),150.05,France,4.4
Brunello di Montalcino Riserva,795.0,Italie,4.6
Romanée-Saint-Vivant Grand Cru (Marey-Monge),8463.75,France,4.7
Clos des Lambrays Grand Cru,1878.75,France,4.4
Barolo Riserva Monfortino,2747.5,Italie,4.7
Saint-Julien (Grand Cru Classé),205.0,France,4.3
Châteauneuf-du-Pape,3308.75,France,4.7
Amarone della Valpolicella Monte Lodoletta,683.75,Italie,4.7
Valpolicella Superiore Monte Lodoletta,243.75,Italie,4.5
Recioto della Valpolicella (Monte Lodoletta),376.25,Italie,4.6
Barolo Ciabot Mentin Ginestra,168.75,Italie,4.3
Lupicaia,243.75,Italie,4.4
Cabernet Sauvignon,201.25,États-Unis,4.5
Amarone della Valpolicella Monte Lodoletta,795.0,Italie,4.7
Amarone della Valpolicella Monte Lodoletta,786.25,Italie,4.7
Valpolicella Superiore Monte Lodoletta,212.5,Italie,4.5
L'Apparita,287.5,Italie,4.4
Clos des Lambrays Grand Cru,1686.25,France,4.4
L'Extravagant de Doisy-Daëne Sauternes,276.25,France,4.6
Clos de la Coulée de Serrant,265.0,France,4.3
Tenuta Tignanello 'Solaia',1473.75,Italie,4.6
Veneto Rosso del Bepi,243.75,Italie,4.6
Vosne-Romanée 1er Cru 'Aux Malconsorts',2092.5,France,4.5
Tenuta Tignanello 'Solaia',1387.5,Italie,4.6
Cerretalto Brunello di Montalcino,533.75,Italie,4.7
Cristal Brut Champagne (Millésimé),2071.25,France,4.6
Vintage,1260.0,France,4.6
Clos du Mesnil,3522.5,France,4.7
Barolo Rocche,208.75,Italie,4.4
Brunello di Montalcino Riserva,127.5,Italie,4.4
Barolo Sorì Ginestra,271.25,Italie,4.3
Château Margaux (Premier Grand Cru Classé),1067.5,France,4.6
Collection,2028.75,France,4.7
Colheita Port,147.82,Portugal,4.2
Bolgheri Superiore,291.25,Italie,4.3
Amarone della Valpolicella Monte Lodoletta,697.5,Italie,4.7
Pomerol,747.5,France,4.4
Châteauneuf-du-Pape,310.0,France,4.4
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,2882.5,France,4.7
Saint-Julien (Grand Cru Classé),406.25,France,4.4
Galatrona,310.0,Italie,4.3
Tenuta Tignanello 'Solaia',668.75,Italie,4.6
Barbaresco,470.0,Italie,4.5
Sorì San Lorenzo,917.5,Italie,4.6
Grand Vin de Château Palmer (Grand Cru Classé),630.0,France,4.5
Sassicaia,618.75,Italie,4.6
Messorio,420.0,Italie,4.5
Carruades de Lafite Pauillac,686.4,France,4.4
Pomerol,423.5,France,4.4
Tignanello,820.0,Italie,4.5
Saint-Émilion Grand Cru (Premier Grand Cru Classé),1173.75,France,4.6
Pessac-Léognan Blanc (Grand Cru Classé de Graves),2028.75,France,4.5
Sassicaia,597.5,Italie,4.6
Pomerol,576.25,France,4.5
Château Margaux (Premier Grand Cru Classé),1173.75,France,4.6
Pessac-Léognan (Premier Grand Cru Classé),2455.0,France,4.6
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,260.0,États-Unis,4.6
Series C,65.0,Afrique du Sud,4.5
Clos des Lambrays Grand Cru,896.25,France,4.4
Pauillac (Premier Grand Cru Classé),1625.0,France,4.6
Romanée-Saint-Vivant Grand Cru,3202.5,France,4.5
Ornato Barolo,212.5,Italie,4.4
Barbaresco,688.75,Italie,4.5
Château Margaux (Premier Grand Cru Classé),1173.75,France,4.6
Pauillac (Premier Grand Cru Classé),1451.25,France,4.6
Ornato Barolo,178.75,Italie,4.4
Barbaresco,597.5,Italie,4.5
Bric Dël Fiasc Barolo,243.75,Italie,4.3
Félix Callejo (Viñedos de la Familia),304.5,Espagne,4.3
Galatrona,212.5,Italie,4.3
Barbaresco,470.0,Italie,4.5
Sorì San Lorenzo,1025.0,Italie,4.6
Brunello di Montalcino Riserva,921.25,Italie,4.6
Cabernet Sauvignon,178.75,États-Unis,4.5
La Grande Dame Brut Champagne,832.5,France,4.5
Tignanello,331.25,Italie,4.5
Château Margaux (Premier Grand Cru Classé),753.4,France,4.6
Barbaresco Rabajà,221.25,Italie,4.3
Sperss Barolo,470.0,Italie,4.6
Scrio,201.25,Italie,4.3
Pessac-Léognan (Premier Grand Cru Classé),1046.25,France,4.6
Châteauneuf-du-Pape,168.75,France,4.4
Pauillac (Grand Cru Classé),618.75,France,4.4
Messorio,420.0,Italie,4.5
Barolo Cerequio,150.0,Italie,4.3
Châteauneuf-du-Pape,2967.5,France,4.7
Giorgio Bartholomäus,616.25,Italie,4.4
Amarone della Valpolicella Monte Lodoletta,731.25,Italie,4.7
Sperss Barolo,961.25,Italie,4.6
Pomerol,683.75,France,4.5
Luce,232.5,Italie,4.4
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,2541.25,France,4.7
Saint-Émilion Grand Cru (Premier Grand Cru Classé),961.25,France,4.6
Tenuta Guado al Tasso Bolgheri Superiore,555.0,Italie,4.5
R.D Extra Brut Champagne (Récemment Dégorgé),299.99,France,4.6
Costa Russi (Barbaresco) Langhe,961.25,Italie,4.6
Amarone della Valpolicella Monte Lodoletta,808.75,Italie,4.7
Pauillac (Premier Grand Cru Classé),2676.75,France,4.6
Sorì Tildìn (Barbaresco) Langhe,961.25,Italie,4.6
Barbaresco,1601.25,Italie,4.5
Château Margaux (Premier Grand Cru Classé),1046.25,France,4.6
Réserve Côtes-du-Rhône,961.25,France,4.4
Brunello di Montalcino Riserva,1478.75,Italie,4.6
Sassicaia,661.25,Italie,4.6
Barolo Cascina Francia,1110.0,Italie,4.5
Pomerol,155.0,France,4.2
Château Margaux (Premier Grand Cru Classé),1173.75,France,4.6
Barolo Enrico VI,148.75,Italie,4.4
Tenuta Guado al Tasso Bolgheri Superiore,310.0,Italie,4.5
Amarone della Valpolicella Monte Lodoletta,616.25,Italie,4.7
Cabernet Sauvignon,221.25,États-Unis,4.5
Saint-Émilion Grand Cru (Premier Grand Cru Classé),1046.25,France,4.6
Barolo Brunate,305.1,Italie,4.3
Redigaffi Toscana,491.25,Italie,4.5
Luce,413.75,Italie,4.4
Bolgheri Superiore,425.0,Italie,4.6
Barolo Brunate,165.0,Italie,4.3
Pessac-Léognan (Premier Grand Cru Classé),1003.75,France,4.6
Vintage Port,101.0,Portugal,4.5
Tignanello,353.75,Italie,4.5
Saint-Émilion Grand Cru (Premier Grand Cru Classé),1046.25,France,4.6
Redigaffi Toscana,555.0,Italie,4.5
Pessac-Léognan (Premier Grand Cru Classé),1046.25,France,4.6
Amarone della Valpolicella Monte Lodoletta,728.75,Italie,4.7
Tignanello,376.25,Italie,4.5
Chambertin Grand Cru,7493.75,France,4.7
Insignia,353.75,États-Unis,4.6
Pomerol,9180.0,France,4.7
Pomerol,353.75,France,4.5
Barolo Bricco Rocche,325.0,Italie,4.4
Sorì Tildìn (Barbaresco) Langhe,917.5,Italie,4.6
Bolgheri Superiore,961.25,Italie,4.6
Valpolicella Superiore Monte Lodoletta,276.25,Italie,4.5
Pomerol,762.0,France,4.3
Brunello di Montalcino Riserva,238.75,Italie,4.5
Cerretalto Brunello di Montalcino,491.25,Italie,4.7
Tenuta Tignanello 'Solaia',705.0,Italie,4.6
Pomerol,533.75,France,4.4
Cabernet Sauvignon,201.25,États-Unis,4.5
Toscana Rosso,811.25,Italie,4.5
Saint-Émilion Grand Cru (Premier Grand Cru Classé),1025.0,France,4.6
Puligny-Montrachet Premier Cru Champ-Canet,221.25,France,4.4
Pessac-Léognan (Premier Grand Cru Classé),1601.25,France,4.6
Bolgheri Superiore,340.0,Italie,4.6
Sassicaia,1707.5,Italie,4.6
Redigaffi Toscana,470.0,Italie,4.5
Clos Sainte Hune Riesling Alsace,618.75,France,4.5
Giramonte Toscana,140.0,Italie,4.4
Montepulciano d'Abruzzo,747.5,Italie,4.4
Luce Brunello di Montalcino,211.3,Italie,4.5
Pauillac (Grand Cru Classé),597.5,France,4.4
Lupicaia,216.25,Italie,4.4
Lupicaia,256.25,Italie,4.4
Bolgheri Superiore,1238.75,Italie,4.6
Châteauneuf-du-Pape,168.75,France,4.4
Saint-Julien (Grand Cru Classé),533.75,France,4.4
Toscana Camartina,201.25,Italie,4.3
Pessac-Léognan (Premier Grand Cru Classé),1046.25,France,4.6
Pessac-Léognan (Premier Grand Cru Classé),896.25,France,4.6
Tignanello,470.0,Italie,4.5
Pomerol,790.0,France,4.4
Saint-Émilion Grand Cru (Premier Grand Cru Classé),795.0,France,4.6
Sassicaia,2668.75,Italie,4.6
Clos de la Roche Grand Cru Cuvée Vieilles Vignes,1430.0,France,4.4
Sperss Barolo,832.5,Italie,4.6
Brunello di Montalcino Riserva Madonna del Piano,1046.25,Italie,4.5
Brunello di Montalcino Riserva,695.0,Italie,4.6
Harlan Estate Red,1921.25,États-Unis,4.7
Paleo Rosso,178.75,Italie,4.4
Solare Toscana,150.0,Italie,4.2
Trebbiano d'Abruzzo,420.0,Italie,4.4
Sassicaia,493.8,Italie,4.6
Pessac-Léognan (Premier Grand Cru Classé),2028.75,France,4.6
Sauternes,928.3,France,4.7
Sassicaia,961.25,Italie,4.6
Chambertin Grand Cru,10960.0,France,4.7
Barolo Bricco Rocche,273.75,Italie,4.4
Château Margaux (Premier Grand Cru Classé),1077.51,France,4.6
Vintage,1800.0,France,4.6
Bolgheri Superiore,425.0,Italie,4.6
Brunello di Montalcino Riserva,961.25,Italie,4.6
Bolgheri Superiore,533.75,Italie,4.6
Sorì San Lorenzo,1558.75,Italie,4.6
Redigaffi Toscana,512.5,Italie,4.5
Pessac-Léognan (Premier Grand Cru Classé),1110.0,France,4.6
Altero Brunello di Montalcino,112.5,Italie,4.4
Brunello di Montalcino Riserva,168.75,Italie,4.4
L'Apparita,630.0,Italie,4.4
L'Apparita,287.5,Italie,4.4
Pauillac (Premier Grand Cru Classé),1339.7,France,4.6
Series C,74.0,Afrique du Sud,4.5
Aconcagua Valley,140.2,Chili,4.5
Pomerol,411.4,France,4.5
Silex,1495.0,France,4.5
Brunello di Montalcino  Montosoli,202.5,Italie,4.4
Sauternes (Premier Grand Cru Classé),92.95,France,4.4
Vintage Port,62.95,Portugal,4.3
L'Extravagant de Doisy-Daëne Sauternes,397.5,France,4.6
Brunello di Montalcino Riserva,895.0,Italie,4.6
Barolo Riserva Bricco Boschis Vigna San Giuseppe,397.5,Italie,4.3
'Giulio Ferrari' Riserva del Fondatore,747.5,Italie,4.6
'Giulio Ferrari' Riserva del Fondatore,310.0,Italie,4.6
Bolgheri Superiore,448.75,Italie,4.6
Tignanello,420.0,Italie,4.5
Brut Cuvée Champagne Rosé,72.0,France,4.4
Sassicaia,618.75,Italie,4.6
Bolgheri Superiore,618.75,Italie,4.6
Sauternes,595.0,France,4.7
Brut Champagne,638.83,France,4.6
Rosé,349.0,France,4.6
L'Apparita,353.75,Italie,4.4
Saint-Émilion Grand Cru (Premier Grand Cru Classé),1164.36,France,4.6
Sauternes,811.25,France,4.7
Brut Rosé Champagne,49.61,France,4.4
Amarone della Valpolicella Monte Lodoletta,1761.25,Italie,4.7
Amarone della Valpolicella Monte Lodoletta,747.5,Italie,4.7
Châteauneuf-du-Pape,2967.5,France,4.7
Montepulciano d'Abruzzo,618.75,Italie,4.4
Blanc de Blancs Brut Champagne Grand Cru,92.95,France,4.4
Tenuta Guado al Tasso Bolgheri Superiore,533.75,Italie,4.5
Conteisa Langhe,239.0,Italie,4.5
Castillo Ygay Gran Reserva Especial Tinto,235.0,Espagne,4.5
Cuvée Annamaria Clementi (Extra Brut),212.5,Italie,4.5
Unico,410.0,Espagne,4.7
Carruades de Lafite Pauillac,619.75,France,4.4
Vintage,1473.75,France,4.6
Harimann Montepulciano d'Abruzzo,58.75,Italie,4.4
'Giulio Ferrari' Riserva del Fondatore,533.75,Italie,4.6
Barolo Riserva,470.0,Italie,4.3
Grand Siècle Champagne (Grande Cuvée),183.7,France,4.5
Barbaresco,1046.25,Italie,4.5
Bolgheri Superiore,470.0,Italie,4.6
Cuvée Madame Barsac,393.5,France,4.5
Vin Santo di Montepulciano,331.25,Italie,4.6
L'Apparita,397.5,Italie,4.4
Saint-Émilion Grand Cru,470.0,France,4.6
Clos des Lambrays Grand Cru,832.5,France,4.4
Sassicaia,1173.75,Italie,4.6
Sorì San Lorenzo,597.5,Italie,4.6
Pomerol,618.75,France,4.4
Vin de Pays de l'Hérault,683.75,France,4.5
Brunello di Montalcino Riserva,1046.25,Italie,4.6
Pauillac (Premier Grand Cru Classé),1381.48,France,4.6
Châteauneuf-du-Pape,3395.0,France,4.7
Sperss Barolo,491.25,Italie,4.6
Romanée-Saint-Vivant Grand Cru (Marey-Monge),10217.5,France,4.7
Vin Santo di Montepulciano,287.5,Italie,4.6
Barolo Cascina Francia,747.5,Italie,4.5
Châteauneuf-du-Pape,3266.25,France,4.7
Collection,2241.25,France,4.7
Bolgheri Superiore,491.25,Italie,4.6
Bolgheri Superiore,360.0,Italie,4.6
Charmes-Chambertin Grand Cru,1025.0,France,4.4
Brut Champagne,460.0,France,4.6
Opus One,455.17,États-Unis,4.6
Cristal Brut Champagne (Millésimé),482.5,France,4.6
Messorio,420.0,Italie,4.5
Grand Vin de Château Palmer (Grand Cru Classé),450.0,France,4.5
Grand Vin de Château Palmer (Grand Cru Classé),832.5,France,4.5
Grand Vin de Château Palmer (Grand Cru Classé),470.0,France,4.5
Bolgheri Superiore,360.0,Italie,4.6
Tignanello,331.25,Italie,4.5
Clos du Mesnil,3096.25,France,4.7
Brunello di Montalcino Riserva,825.0,Italie,4.6
Romanée-Saint-Vivant Grand Cru (Marey-Monge),8743.75,France,4.7
Il Bricco Barbaresco,202.5,Italie,4.3
Montepulciano d'Abruzzo,385.5,Italie,4.2
Flaccianello della Pieve,331.25,Italie,4.5
Barolo Riserva Vigna Rionda,265.0,Italie,4.3
Châteauneuf-du-Pape,3181.25,France,4.7
Unico Reserva Especial Edición,644.95,Espagne,4.7
Campolongo di Torbe Amarone della Valpolicella Classico,233.75,Italie,4.5
Saint-Julien (Grand Cru Classé),533.75,France,4.4
Cabernet Sauvignon,201.25,États-Unis,4.5
Cristal Rosé Brut Champagne (Millésimé),961.25,France,4.6
Pomerol,3800.0,France,4.7
Redigaffi Toscana,705.0,Italie,4.5
Cabernet Sauvignon,201.25,États-Unis,4.5
Barbaresco Gaiun Martinenga,246.25,Italie,4.3
Tordiz 40 Year Old Tawny Port,337.5,Portugal,4.6
Vürsù Barolo Campè,232.5,Italie,4.4
Barolo Prapò,206.25,Italie,4.3
Vintage Port Nacional,1152.5,Portugal,4.6
Amarone della Valpolicella Classico Riserva (Sergio Zenato),483.75,Italie,4.5
Château Margaux (Premier Grand Cru Classé),1173.75,France,4.6
Ozanne Blanc de Blancs Brut Champagne Grand Cru 'Avize',683.75,France,4.5
Bolgheri Superiore,390.0,Italie,4.6
Riserva vecchie viti dei Capalot e delle Brunate Barolo,940.0,Italie,4.5
Pomerol,420.0,France,4.5
Cristal Brut Champagne (Millésimé),533.75,France,4.6
Bolgheri Superiore,1173.75,Italie,4.6
Unico,445.0,Espagne,4.7
Montepulciano d'Abruzzo,790.0,Italie,4.4
Carruades de Lafite Pauillac,729.3,France,4.4
Lupicaia,298.75,Italie,4.4
Saint-Émilion Grand Cru (Premier Grand Cru Classé),832.5,France,4.6
Châteauneuf-du-Pape,2967.5,France,4.7
Barolo Brunate,230.0,Italie,4.3
Lodovico,683.75,Italie,4.6
Sassicaia,632.5,Italie,4.6
Sorì San Lorenzo,705.0,Italie,4.6
Pomerol,6300.0,France,4.7
Barolo Bricco Rocche,297.5,Italie,4.4
Pur Sang,397.5,France,4.3
Costa Russi (Barbaresco) Langhe,832.5,Italie,4.6
Sauternes,2455.0,France,4.7
Tenuta Nuova Brunello di Montalcino,122.0,Italie,4.5
La Grande Dame Brut Rosé Champagne,566.25,France,4.6
Chevalier-Montrachet Grand Cru,2562.5,France,4.6
Barolo Riserva Monprivato Cà d'Morissio,832.5,Italie,4.6
Veneto Alzero Cabernet,1975.0,Italie,4.7
Bolgheri Superiore,618.75,Italie,4.6
Alabaster,136.25,Espagne,4.6
Châteauneuf-du-Pape Réservé Blanc,1281.25,France,4.4
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,3181.25,France,4.7
Rosé Brut Champagne Grand Cru 'Ambonnay',121.0,France,4.4
Vin Santo di Montepulciano,310.0,Italie,4.6
Brut Rosé Champagne,429.0,France,4.5
Amarone della Valpolicella Classico Riserva (Sergio Zenato),496.25,Italie,4.5
Pomerol,5800.0,France,4.7
Montepulciano d'Abruzzo,491.6,Italie,4.4
Harlequin,2113.75,Italie,4.7
Pauillac (Premier Grand Cru Classé),842.98,France,4.6
'Giulio Ferrari' Riserva del Fondatore,597.5,Italie,4.6
'Giulio Ferrari' Riserva del Fondatore,917.5,Italie,4.6
Pomerol,4410.0,France,4.7
Vürsù Barolo Campè,211.25,Italie,4.4
La Grande Dame Brut Rosé Champagne,295.0,France,4.6
Clos des Goisses Champagne,1110.0,France,4.5
Chambertin Grand Cru,618.75,France,4.3
Romanée-Saint-Vivant Grand Cru,2028.75,France,4.5
Pauillac (Grand Cru Classé),118.5,France,4.4
Vürsù Barolo Campè,212.5,Italie,4.4
Falletto Barolo Le Rocche del Falletto,1686.25,Italie,4.5
Nettare Veneto Bianco,310.0,Italie,4.6
Bolgheri Superiore,533.75,Italie,4.6
Montepulciano d'Abruzzo,832.5,Italie,4.4
Sorì Tildìn (Barbaresco) Langhe,790.0,Italie,4.6
Valpolicella Superiore Monte Lodoletta,243.75,Italie,4.5
Barolo Riserva Monprivato Cà d'Morissio,2455.0,Italie,4.6
Nettare Veneto Bianco,310.0,Italie,4.6
Bonnes-Mares Grand Cru,1823.75,France,4.5
Tokaji Aszú 6 Puttonyos,99.97,Hongrie,4.6
Barolo Bricco Rocche,448.75,Italie,4.4
Barolo Brunate,200.0,Italie,4.3
Pessac-Léognan (Premier Grand Cru Classé),1025.0,France,4.6
Unico,1040.6,Espagne,4.7
Côte-Rôtie La Mouline,346.75,France,4.6
Contador Rioja,249.0,Espagne,4.6
Barolo Riserva Granbussia,1936.25,Italie,4.5
Costasera Amarone della Valpolicella Classico,190.0,Italie,4.3
Clos Sainte Hune Riesling Alsace,600.0,France,4.5
Tessons Clos de Mon Plaisir Meursault,1260.0,France,4.4
Kairos,221.25,Italie,4.4
Pomerol,545.0,France,4.4
Bolgheri Superiore,683.75,Italie,4.6
Château Margaux (Premier Grand Cru Classé),1025.0,France,4.6
Brunello di Montalcino,747.5,Italie,4.5
Sperss Barolo,523.75,Italie,4.6
L'Apparita,397.5,Italie,4.4
Comtes de Champagne Blanc de Blancs,190.0,France,4.5
Toscana Batar,201.25,Italie,4.3
Châteauneuf-du-Pape,3096.25,France,4.7
Gratallops Partida Bellvisos,175.0,Espagne,4.3
Brunate  Barolo,1323.75,Italie,4.5
Brunello di Montalcino,331.25,Italie,4.5
Brunello di Montalcino,353.75,Italie,4.5
Brunello di Montalcino,310.0,Italie,4.5
Brunello di Montalcino,220.0,Italie,4.5
Brunello di Montalcino,310.0,Italie,4.5
Brunello di Montalcino,331.25,Italie,4.5
Brunello di Montalcino,353.75,Italie,4.5
Le Bourg Saumur Champigny,1025.0,France,4.5
Brunello di Montalcino,394.0,Italie,4.5
Brunello di Montalcino,597.5,Italie,4.5
Pomerol,397.5,France,4.4
Brunello di Montalcino,331.25,Italie,4.5
Veneto Alzero Cabernet,913.05,Italie,4.7
Brunello di Montalcino,420.0,Italie,4.5
Brunello di Montalcino,121.25,Italie,4.2
Belle Epoque Brut Champagne,247.5,France,4.5
Clos de la Roche Grand Cru Cuvée Vieilles Vignes,1323.75,France,4.4
Montrachet Grand Cru,5977.5,France,4.7
Veneto Alzero Cabernet,555.0,Italie,4.7
Saint-Émilion Grand Cru (Premier Grand Cru Classé),156.95,France,4.4
Brunello di Montalcino,353.75,Italie,4.5
Darmagi Langhe,397.5,Italie,4.5
Sed de Caná,165.9,Espagne,4.5
Cerretta Barolo Riserva (Vigna Bricco),205.0,Italie,4.5
Montelìg,49.99,Chili,4.4
Maria Adelaide Barbaresco,266.25,Italie,4.3
Brunello di Montalcino,353.75,Italie,4.5
Amarone della Valpolicella Classico,843.75,Italie,4.4
Barolo Monprivato,470.0,Italie,4.4
Bolgheri Superiore,533.75,Italie,4.6
Poggio all'Oro Brunello di Montalcino Riserva,136.3,Italie,4.5
Brunello di Montalcino,241.3,Italie,4.5
Amarone della Valpolicella Classico,181.25,Italie,4.5
Sassicaia,1270.0,Italie,4.6
Barolo Riserva Monfortino,1137.5,Italie,4.7
Altura,89.0,Chili,4.5
Merlot,178.75,États-Unis,4.4
Vintage Port,265.0,Portugal,4.4
Pomerol,170.0,France,4.5
Vosne-Romanée Premier Cru Aux Reignots,4173.75,France,4.6
Grand Vin Pauillac (Premier Grand Cru Classé),2028.75,France,4.6
Brunello di Montalcino,470.0,Italie,4.5
Harimann Montepulciano d'Abruzzo,58.75,Italie,4.4
Sauternes,1025.0,France,4.7
Veneto Rosso del Bepi,243.8,Italie,4.6
Grand Vin Pauillac (Premier Grand Cru Classé),2753.75,France,4.6
Grand Vin Pauillac (Premier Grand Cru Classé),1686.25,France,4.6
Bolgheri Superiore,597.5,Italie,4.6
Côte-Rôtie La Mouline,4910.0,France,4.6
Grand Vin Pauillac (Premier Grand Cru Classé),990.0,France,4.6
Campolongo di Torbe Amarone della Valpolicella Classico,212.5,Italie,4.5
Sauternes (Premier Grand Cru Classé),49.9,France,4.3
Montepulciano d'Abruzzo,543.4,Italie,4.4
Dom Ruinart Blanc de Blancs Brut Champagne,287.0,France,4.5
Merlot,201.25,États-Unis,4.4
Vürsù Barolo Campè,318.75,Italie,4.4
Lodovico,425.0,Italie,4.6
d'Alceo,335.0,Italie,4.4
Darmagi Langhe,331.25,Italie,4.5
Amarone della Valpolicella,291.25,Italie,4.4
N.P.U. Extra Brut Champagne (Nec Plus Ultra),470.0,France,4.5
Grand Vin Pauillac (Premier Grand Cru Classé),1323.75,France,4.6
Vigneto Bellavista Chianti Classico,221.25,Italie,4.4
Brunello di Montalcino Riserva,1046.25,Italie,4.6
Grand Vin Pauillac (Premier Grand Cru Classé),1590.0,France,4.6
Opus One,768.75,États-Unis,4.6
Falletto Barolo Le Rocche del Falletto Riserva,3096.25,Italie,4.6
Grand Vin Pauillac (Premier Grand Cru Classé),1200.79,France,4.6
Saint-Émilion Grand Cru (Premier Grand Cru Classé),287.5,France,4.3
Vin de Pays de l'Hérault,683.75,France,4.5
Tenuta Nuova Brunello di Montalcino,470.0,Italie,4.5
Le Bourg Saumur Champigny,832.5,France,4.5
d'Alceo,196.25,Italie,4.4
Amarone della Valpolicella Classico,425.0,Italie,4.7
Sauternes (Premier Grand Cru Classé),75.71,France,4.3
Valpolicella Superiore Monte Lodoletta,178.75,Italie,4.5
Brunello di Montalcino,420.0,Italie,4.5
Romanée-Saint-Vivant Grand Cru,3202.5,France,4.5
Châteauneuf-du-Pape,3287.5,France,4.7
Kairos,221.25,Italie,4.4
Pauillac (Grand Cru Classé),479.85,France,4.4
Amour de Deutz Millésimé Brut Champagne,199.0,France,4.5
Kairos,221.25,Italie,4.4
Costa Russi (Barbaresco) Langhe,1281.25,Italie,4.6
Pauillac (Premier Grand Cru Classé),975.0,France,4.6
Continuum Estate,645.0,États-Unis,4.6
Conde de Superunda,56.0,Chili,4.2
Bolgheri Superiore,448.75,Italie,4.6
Pieve Santa Restituta Sugarille Brunello di Montalcino,222.5,Italie,4.5
Falletto Barolo Le Rocche del Falletto Riserva,3522.5,Italie,4.6
Amarone della Valpolicella Monte Lodoletta,752.5,Italie,4.7
Barolo Cannubi,135.0,Italie,4.3
Sir Winston Churchill Brut Champagne,683.75,France,4.6
Comtes de Champagne Blanc de Blancs,811.25,France,4.5
Pauillac (Premier Grand Cru Classé),715.15,France,4.6
Amarone della Valpolicella Classico,265.0,Italie,4.4
Saint-Émilion Grand Cru (Premier Grand Cru Classé),785.18,France,4.6
Barolo Le Vigne,420.0,Italie,4.3
Sorì San Lorenzo,692.5,Italie,4.6
Rocche dell'Annunziata Barolo Riserva,618.75,Italie,4.5
