id,name,wine_id,ratings_average,ratings_count,year,price_euros,price_discounted_from,price_discount_percentage,bottle_volume_ml
1242749,Michele Chiarlo Barolo Cerequio 2006,86578,4.4,236,2006,150.0,,,750
1243782,Château Rayas Châteauneuf-du-Pape 2008,87552,4.7,754,2008,2967.5,,,750
1244762,Tenuta Argentiera Giorgio Bartholomäus 2008,1183244,4.5,99,2008,616.25,,,750
1250775,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2000,89750,4.7,276,2000,731.25,,,750
1253414,Gaja Sperss Barolo 1998,66194,4.6,555,1998,961.25,,,1500
1254404,Château La Fleur-Pétrus Pomerol 1998,1098981,4.5,445,1998,683.75,,,750
1258115,Tenuta Luce Luce 2005,83594,4.4,365,2005,232.5,,,750
1258650,Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1997,1127349,4.7,1325,1997,2541.25,,,750
1261602,Château Cheval Blanc Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1993,1148747,4.6,667,1993,961.25,,,750
1262760,Antinori Tenuta Guado al Tasso Bolgheri Superiore 1999,1658,4.4,750,1999,555.0,,,1500
1263739,Bollinger R.D Extra Brut Champagne (Récemment Dégorgé) 2008,1164702,4.6,81,2008,299.99,,,750
1264718,Gaja Costa Russi (Barbaresco) Langhe 1985,66114,4.7,36,1985,961.25,,,750
1265300,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 1995,89750,4.8,88,1995,808.75,,,750
1267469,Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2008,3908,4.5,753,2008,2676.75,,,750
1271161,Gaja Sorì Tildìn (Barbaresco) Langhe 2004,66134,4.6,182,2004,961.25,,,750
1275961,Gaja Barbaresco 1989,66104,4.5,213,1989,1601.25,,,1500
1276605,Château Margaux Château Margaux (Premier Grand Cru Classé) 2002,1127795,4.6,1292,2002,1046.25,,,750
1281568,Chateau de Fonsalette Réserve Côtes-du-Rhône 2011,1191704,4.5,137,2011,961.25,,,750
1281955,Biondi-Santi Brunello di Montalcino Riserva 2008,82698,4.6,163,2008,1478.75,,,750
1282334,Tenuta San Guido Sassicaia 2011,5078,4.6,7165,2011,661.25,,,750
1282716,Giacomo Conterno Barolo Cascina Francia 2007,82203,4.6,432,2007,1110.0,,,1500
1286336,Château Gazin Pomerol 2009,18555,4.4,601,2009,155.0,180.0,13.89,750
1289045,Château Margaux Château Margaux (Premier Grand Cru Classé) 2007,1127795,4.6,1062,2007,1173.75,,,750
1289459,Cordero di Montezemolo Barolo Enrico VI 2007,8794,4.4,173,2007,148.75,,,750
1289668,Antinori Tenuta Guado al Tasso Bolgheri Superiore 1997,1658,4.5,411,1997,310.0,,,750
1292680,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2006,89750,4.7,1269,2006,616.25,,,750
1294244,Leonetti Cabernet Sauvignon 2004,94912,4.6,36,2004,221.25,,,750
1294375,Château Angelus Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1998,10175,4.6,703,1998,1046.25,,,750
1296044,Ceretto Barolo Brunate 2007,7135,4.4,189,2007,305.1,,,750
1296442,Tua Rita Redigaffi Toscana 2009,75816,4.5,256,2009,491.25,,,750
1298624,Tenuta Luce Luce 2007,83594,4.4,358,2007,413.75,,,750
1299205,Ornellaia Bolgheri Superiore 1998,22447,4.6,1211,1998,425.0,,,750
1300262,Ceretto Barolo Brunate 2004,7135,4.5,142,2004,165.0,,,750
1300569,Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 2004,1152755,4.6,1947,2004,1003.75,,,750
1302694,Fonseca Vintage Port 2000,1206377,4.5,145,2000,101.0,,,750
1304851,Antinori Tignanello 2011,1652,4.5,9926,2011,353.75,,,750
1305511,Château Cheval Blanc Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002,1148747,4.7,473,2002,1046.25,,,750
